chr1	start1	end1	chr2	start2	end2	H3K27Ac_WT_FITHICHIP.10K.P2AS.NOVA_ChIPCov1	H3K27Ac_WT_FITHICHIP.10K.P2AS.NOVA_ChIPCov2	H3K27AC_IKDN_FITHICHIP.10K.P2AS.NOVA_ChIPCov1	H3K27AC_IKDN_FITHICHIP.10K.P2AS.NOVA_ChIPCov2	Bin1_Label	Bin2_Label	H3K27Ac_WT_FITHICHIP.10K.P2AS.NOVA_R1_RawCC	H3K27Ac_WT_FITHICHIP.10K.P2AS.NOVA_R1_QVal	H3K27Ac_WT_FITHICHIP.10K.P2AS.NOVA_R2_RawCC	H3K27Ac_WT_FITHICHIP.10K.P2AS.NOVA_R2_QVal	H3K27AC_IKDN_FITHICHIP.10K.P2AS.NOVA_R1_RawCC	H3K27AC_IKDN_FITHICHIP.10K.P2AS.NOVA_R1_QVal	H3K27AC_IKDN_FITHICHIP.10K.P2AS.NOVA_R2_RawCC	H3K27AC_IKDN_FITHICHIP.10K.P2AS.NOVA_R2_QVal	logFC	logCPM	pvalue	FDR	FDR_IHW	H3K27Ac_WT_FITHICHIP.10K.P2AS.NOVA_SigRepl	H3K27AC_IKDN_FITHICHIP.10K.P2AS.NOVA_SigRepl	Label_Anch1	Gene_Anch1	PromType_Anch1	EnhType_Anch1	Label_Anch2	Gene_Anch2	PromType_Anch2	EnhType_Anch2	id
chr1	13590000	13600000	chr1	16100000	16110000	1395.5	1505.5	1565.5	1913.5	ND	ND	9	0.561020752	9	0.220776362	12	0.002499028	11	0.007257233	-0.438183296	-2.077718857	0.566914875	0.78174212	0.935910278	0	2	E		NA	Active_CTCF_pos	P	Rpl7,Rdh10	CTCF_pos	NA	chr1-13590000-13600000-chr1-16100000-16110000
chr1	14910000	14920000	chr1	16100000	16110000	185.5	1505.5	154.5	1913.5	LD	ND	10	1	6	1	19	7.31745e-09	16	4.10894e-06	-1.202914207	-1.796334573	0.088089284	0.78174212	0.431356602	0	2	P	Trpa1	CTCF_pos	NA	P	Rpl7,Rdh10	CTCF_pos	NA	chr1-14910000-14920000-chr1-16100000-16110000
chr1	14990000	15000000	chr1	15800000	15810000	83	879	101.5	1071	LD	ND	8	1	9	1	14	0.009491762	15	0.006298094	-0.846121348	-1.937323928	0.248269845	0.78174212	0.760319731	0	2	O		NA	NA	P	Terf1	CTCF_pos	NA	chr1-14990000-15000000-chr1-15800000-15810000
chr1	16100000	16110000	chr1	16170000	16180000	1505.5	196.5	1913.5	207	ND	LD	70	1	91	1	128	0.000160098	121	0.000128302	-0.723866252	1.020146146	0.010100859	0.271694209	0.10573962	0	2	P	Rpl7,Rdh10	CTCF_pos	NA	E		NA	Active_CTCF_neg	chr1-16100000-16110000-chr1-16170000-16180000
chr1	16660000	16670000	chr1	16680000	16690000	580.5	590.5	649	601	LD	LD	174	1	175	0.725757215	252	3.17673e-07	253	6.13019e-06	-0.620029203	2.063519803	0.005534405	0.180614142	0.071999746	0	2	P	Gm7654,Tmem70	CTCF_pos	NA	P	Ly96	CTCF_pos	NA	chr1-16660000-16670000-chr1-16680000-16690000
chr1	33990000	34000000	chr1	34430000	34440000	275	968.5	169.5	1063.5	LD	LD	10	1	20	1	30	9.63764e-05	32	5.53237e-05	-1.136101041	-1.046577923	0.034784896	0.578241556	0.237520488	0	2	E		NA	Active_CTCF_pos	P	Gm37233,Mir5103,Ccdc115,Imp4	CTCF_pos	NA	chr1-33990000-34000000-chr1-34430000-34440000
chr1	34230000	34240000	chr1	34430000	34440000	462.5	968.5	428	1063.5	LD	LD	16	1	25	1	96	2.60161e-11	112	9.29e-15	-2.422556517	0.328218819	2.486e-11	9.86366e-09	4.30775e-09	0	2	P	Dst	CTCF_pos	NA	P	Gm37233,Mir5103,Ccdc115,Imp4	CTCF_pos	NA	chr1-34230000-34240000-chr1-34430000-34440000
chr1	34240000	34250000	chr1	34430000	34440000	414.5	968.5	416.5	1063.5	LD	LD	16	1	25	1	68	0.001019283	88	1.68127e-09	-2.00288251	-0.006020597	3.31757e-07	5.52953e-05	2.40809e-05	0	2	E		NA	Active_CTCF_pos	P	Gm37233,Mir5103,Ccdc115,Imp4	CTCF_pos	NA	chr1-34240000-34250000-chr1-34430000-34440000
chr1	34850000	34860000	chr1	36120000	36130000	476.5	314	438.5	294	LD	LD	4	1	4	1	17	4.52825e-07	12	0.001541704	-1.926738783	-2.181023224	0.021363128	0.444261563	0.163863246	0	2	P	Plekhb2	CTCF_neg	NA	E		NA	Active_CTCF_neg	chr1-34850000-34860000-chr1-36120000-36130000
chr1	34850000	34860000	chr1	36300000	36310000	476.5	2024.5	438.5	1980.5	LD	ND	15	0.011478853	10	0.246008063	23	5.71646e-09	29	2.6553e-13	-1.117465613	-1.280274953	0.056273432	0.734037998	0.351179146	0	2	P	Plekhb2	CTCF_neg	NA	P	Arid5a	CTCF_pos	NA	chr1-34850000-34860000-chr1-36300000-36310000
chr1	35650000	35660000	chr1	36130000	36140000	359.5	313	286.5	313.5	LD	LD	9	1	11	1	18	0.000465057	21	0.000213195	-1.036798998	-1.626259582	0.116697485	0.78174212	0.506474664	0	2	P	Gm37068	CTCF_neg	NA	P	Gm33280	CTCF_pos	NA	chr1-35650000-35660000-chr1-36130000-36140000
chr1	35810000	35820000	chr1	36050000	36060000	232	238.5	126	132	LD	LD	10	1	0	1	37	3.77712e-07	29	0.006743155	-2.765793071	-1.26614769	1.30345e-05	0.001368889	0.000596028	0	2	E		NA	Active_CTCF_neg	E		NA	Active_CTCF_neg	chr1-35810000-35820000-chr1-36050000-36060000
chr1	35810000	35820000	chr1	36060000	36070000	232	586	126	398	LD	LD	36	1	33	1	45	5.33138e-06	69	2.955e-14	-0.78612598	-0.121879118	0.043624271	0.661124531	0.286512418	0	2	E		NA	Active_CTCF_neg	P	Hs6st1	CTCF_pos	NA	chr1-35810000-35820000-chr1-36060000-36070000
chr1	35810000	35820000	chr1	36130000	36140000	232	313	126	313.5	LD	LD	7	1	21	1	25	9.96033e-05	31	3.47506e-07	-1.087037	-1.174149565	0.053206761	0.698340648	0.336072849	0	2	E		NA	Active_CTCF_neg	P	Gm33280	CTCF_pos	NA	chr1-35810000-35820000-chr1-36130000-36140000
chr1	35810000	35820000	chr1	36300000	36310000	232	2024.5	126	1980.5	LD	ND	26	1	22	1	50	1.02e-14	45	6.97965e-08	-1.070018986	-0.441001071	0.013798775	0.341239889	0.127341586	0	2	E		NA	Active_CTCF_neg	P	Arid5a	CTCF_pos	NA	chr1-35810000-35820000-chr1-36300000-36310000
chr1	35820000	35830000	chr1	36300000	36310000	466	2024.5	173	1980.5	LD	ND	44	0.011981396	25	0.366130101	34	0.000386739	64	6.03e-15	-0.549943373	-0.251963591	0.172588232	0.78174212	0.620131164	0	2	E		NA	Active_CTCF_neg	P	Arid5a	CTCF_pos	NA	chr1-35820000-35830000-chr1-36300000-36310000
chr1	36360000	36370000	chr1	36450000	36460000	688.5	139	721.5	120	LD	LD	99	1	78	1	93	0.001411216	116	2.48286e-08	-0.310055354	0.925521868	0.278814455	0.78174212	0.796517891	0	2	P	Kansl3	CTCF_pos	NA	E		NA	Active_CTCF_pos	chr1-36360000-36370000-chr1-36450000-36460000
chr1	36550000	36560000	chr1	36690000	36700000	322.5	570.5	208.5	644.5	LD	LD	38	0.015559523	35	0.070564881	94	0	66	2.95883e-07	-1.232726022	0.244651693	0.000499163	0.028436209	0.012410062	0	2	P	Sema4c,D430040D24Rik	CTCF_pos	NA	P	Cox5b	CTCF_pos	NA	chr1-36550000-36560000-chr1-36690000-36700000
chr1	36550000	36560000	chr1	37990000	38000000	322.5	1152	208.5	1289	LD	LD	8	0.273084228	3	1	12	0.002751934	14	0.000129757	-1.287652566	-2.194993413	0.114540742	0.78174212	0.498136965	0	2	P	Sema4c,D430040D24Rik	CTCF_pos	NA	P	Txndc9,Eif5b	CTCF_pos	NA	chr1-36550000-36560000-chr1-37990000-38000000
chr1	36700000	36710000	chr1	37430000	37440000	569	402	588	391	LD	LD	9	0.649404868	10	0.099712526	13	0.008194887	14	0.004483976	-0.585254301	-1.939868723	0.422396521	0.78174212	0.895663834	0	2	P	Actr1b	CTCF_pos	NA	P	Coa5,Unc50	CTCF_pos	NA	chr1-36700000-36710000-chr1-37430000-37440000
chr1	36760000	36770000	chr1	36930000	36940000	682.5	870	740	1017	LD	LD	33	1	50	0.252192775	72	0.002616959	67	0.001075507	-0.840861139	0.158682615	0.019292747	0.419442485	0.159160863	0	2	P	Zap70,Gm18828	CTCF_neg	NA	P	Tmem131	CTCF_pos	NA	chr1-36760000-36770000-chr1-36930000-36940000
chr1	36760000	36770000	chr1	37250000	37260000	682.5	72	740	58	LD	ND	20	1	26	0.11051685	45	1.45021e-08	38	2.62449e-05	-0.947740246	-0.584206259	0.037389272	0.61495393	0.252796534	0	2	P	Zap70,Gm18828	CTCF_neg	NA	S		NA	NA	chr1-36760000-36770000-chr1-37250000-37260000
chr1	36760000	36770000	chr1	37630000	37640000	682.5	243	740	171	LD	LD	14	0.010826258	7	1	24	8.34651e-08	27	0.000186875	-1.339701074	-1.361467552	0.027500738	0.514346241	0.193282698	0	2	P	Zap70,Gm18828	CTCF_neg	NA	E		NA	Active_CTCF_pos	chr1-36760000-36770000-chr1-37630000-37640000
chr1	36780000	36790000	chr1	37250000	37260000	181.5	72	191	58	LD	ND	0	1	21	0.050306272	32	4.63741e-09	33	4.415e-09	-1.735680106	-1.134278641	0.002234485	0.091583169	0.040007217	0	2	E		NA	Active_CTCF_pos	S		NA	NA	chr1-36780000-36790000-chr1-37250000-37260000
chr1	36830000	36840000	chr1	37490000	37500000	487	425.5	619.5	362.5	LD	LD	11	0.763420856	7	1	22	0.000135582	18	0.002154559	-1.229171147	-1.632985747	0.065418635	0.78174212	0.376267481	0	2	E		NA	Active_CTCF_pos	P	Mgat4a	CTCF_neg	NA	chr1-36830000-36840000-chr1-37490000-37500000
chr1	37420000	37430000	chr1	37870000	37880000	310.5	372	250.5	286.5	LD	LD	18	0.051366154	11	1	25	0.000333901	24	0.001912717	-0.831236442	-1.257629882	0.149228492	0.78174212	0.573433741	0	2	P	Coa5	CTCF_pos	NA	P	Lipt1	CTCF_pos	NA	chr1-37420000-37430000-chr1-37870000-37880000
chr1	37990000	38000000	chr1	39360000	39370000	1152	722	1289	799	LD	LD	12	0.015852203	7	1	15	0.000107187	14	0.00063858	-0.683369298	-1.879055097	0.339668011	0.78174212	0.850818752	0	2	P	Txndc9,Eif5b	CTCF_pos	NA	P	Rpl31	CTCF_pos	NA	chr1-37990000-38000000-chr1-39360000-39370000
chr1	39000000	39010000	chr1	39360000	39370000	79.5	722	56	799	LD	LD	16	1	18	1	40	1.83691e-05	34	0.007717727	-1.212839474	-0.820647423	0.014968591	0.352086573	0.13591199	0	2	S		NA	NA	P	Rpl31	CTCF_pos	NA	chr1-39000000-39010000-chr1-39360000-39370000
chr1	39570000	39580000	chr1	40260000	40270000	619	1085.5	681	425	LD	LD	2	1	1	1	25	1.07014e-05	20	0.007674406	-3.889734491	-1.855535419	6.22995e-06	0.000722798	0.000314712	0	2	P	Rnf149,Gm23722	CTCF_pos	NA	P	Il1r1	CTCF_pos	NA	chr1-39570000-39580000-chr1-40260000-40270000
chr1	39680000	39690000	chr1	39930000	39940000	115.5	417	114	390	LD	ND	22	1	38	0.069164078	46	0.000172449	39	0.000987828	-0.605713392	-0.431897616	0.15766274	0.78174212	0.586274863	0	2	S		NA	NA	E		NA	Active_CTCF_pos	chr1-39680000-39690000-chr1-39930000-39940000
chr1	39710000	39720000	chr1	40260000	40270000	265.5	1085.5	399	425	LD	LD	3	1	4	1	45	1.769e-14	30	2.87962e-06	-3.484341427	-1.160943384	5.82771e-08	1.18089e-05	5.14257e-06	0	2	E		NA	Active_CTCF_pos	P	Il1r1	CTCF_pos	NA	chr1-39710000-39720000-chr1-40260000-40270000
chr1	39730000	39740000	chr1	39750000	39760000	883	259.5	1167.5	240.5	ND	LD	158	1	174	0.371420618	236	1.49064e-05	194	1.13183e-08	-0.472769813	1.903740817	0.040629855	0.638982019	0.271149039	0	2	E		NA	Active_CTCF_pos	E		NA	Active_CTCF_pos	chr1-39730000-39740000-chr1-39750000-39760000
chr1	39730000	39740000	chr1	40260000	40270000	883	1085.5	1167.5	425	ND	LD	2	1	10	1	35	4.20684e-05	41	1.02063e-07	-2.733873145	-1.096022734	4.00258e-06	0.000493019	0.000215176	0	2	E		NA	Active_CTCF_pos	P	Il1r1	CTCF_pos	NA	chr1-39730000-39740000-chr1-40260000-40270000
chr1	39750000	39760000	chr1	39890000	39900000	259.5	356	240.5	329.5	LD	LD	27	1	27	0.962657353	58	6.82798e-08	41	0.000363028	-0.975175633	-0.343145735	0.019923605	0.430343518	0.159160863	0	2	E		NA	Active_CTCF_pos	E		NA	Active_CTCF_pos	chr1-39750000-39760000-chr1-39890000-39900000
chr1	39750000	39760000	chr1	39930000	39940000	259.5	417	240.5	390	LD	ND	17	1	19	0.973022896	31	0.00650984	27	0.003536251	-0.779201075	-1.012848232	0.139435833	0.78174212	0.55742009	0	2	E		NA	Active_CTCF_pos	E		NA	Active_CTCF_pos	chr1-39750000-39760000-chr1-39930000-39940000
chr1	39750000	39760000	chr1	39940000	39950000	259.5	391.5	240.5	385	LD	LD	13	1	29	0.014037059	35	0.001255701	39	1.49044e-05	-0.908758192	-0.740701627	0.058446625	0.758872027	0.360646392	0	2	E		NA	Active_CTCF_pos	E		NA	Active_CTCF_pos	chr1-39750000-39760000-chr1-39940000-39950000
chr1	39760000	39770000	chr1	39930000	39940000	200.5	417	176.5	390	LD	ND	14	1	10	1	49	2.1e-16	25	0.000150386	-1.727159797	-0.92665802	0.001076457	0.052286431	0.02281888	0	2	E		NA	Active_CTCF_pos	E		NA	Active_CTCF_pos	chr1-39760000-39770000-chr1-39930000-39940000
chr1	39760000	39770000	chr1	39940000	39950000	200.5	391.5	176.5	385	LD	LD	12	1	17	1	29	0.000427179	25	0.009984921	-0.990567663	-1.176468445	0.077816176	0.78174212	0.403271711	0	2	E		NA	Active_CTCF_pos	E		NA	Active_CTCF_pos	chr1-39760000-39770000-chr1-39940000-39950000
