chr1	start1	end1	chr2	start2	end2	CTCF_WT_10K.P2P_ChIPCov1	CTCF_WT_10K.P2P_ChIPCov2	CTCF_IKDN_10K.P2P_ChIPCov1	CTCF_IKDN_10K.P2P_ChIPCov2	Bin1_Label	Bin2_Label	CTCF_WT_10K.P2P_R1_RawCC	CTCF_WT_10K.P2P_R1_QVal	CTCF_WT_10K.P2P_R2_RawCC	CTCF_WT_10K.P2P_R2_QVal	CTCF_IKDN_10K.P2P_R1_RawCC	CTCF_IKDN_10K.P2P_R1_QVal	CTCF_IKDN_10K.P2P_R2_RawCC	CTCF_IKDN_10K.P2P_R2_QVal	logFC	logCPM	pvalue	FDR	FDR_IHW	CTCF_WT_10K.P2P_SigRepl	CTCF_IKDN_10K.P2P_SigRepl	Label_Anch1	Gene_Anch1	PromType_Anch1	EnhType_Anch1	Label_Anch2	Gene_Anch2	PromType_Anch2	EnhType_Anch2	CTCF_WT_851_7001_OE	CTCF_D0_OE	CTCF_D3_OE	CTCF_D12_OE	CTCF_IKDN_852_7002_OE
chr1	111860000	111870000	chr1	112370000	112380000	222	146	458.5	357	LD	LD	33	0	10	0.00046140197669837	62	0	46	0	-1.40552326778287	1.10915636515755	0.00026576303935036	0.0255108867601846	0.0112031562681294	2	2	P	Dsel	CTCF_pos		S				25.3998966217041	7.90060520172119	8.09144973754883	13.3749771118164	71.0391387939453
chr1	11650000	11660000	chr1	12280000	12290000	309	37.5	364	150.5	LD	HD	0	1	0	1	6	0.0681521035720869	9	0.00053858591547765	-5.97309131560598	-1.69942070654168	0.00057668897733946	0.0469271538582753	0.0200931167873598	0	1	S				E			Active_CTCF_pos	4.81060123443604	1.50105392932892	NA	4.67333698272705	15.0265579223633
chr1	118400000	118410000	chr1	118460000	118470000	108.5	259.5	112	295.5	ND	ND	0	1	28	0.00395896229943065	43	1.06099649225e-06	36	4.15566055028e-06	-1.63953863094835	0.619046785811903	0.00043771303401629	0.0384266696728924	0.0161923161318497	1	2	E			Active_CTCF_pos	P	Clasp1	CTCF_pos		6.41890954971314	4.72162771224976	3.54555177688599	5.07240438461304	6.73359823226929
chr1	118770000	118780000	chr1	119080000	119090000	274	557.5	347	914	LD	LD	13	1	8	0.994929231029963	33	8.00775466181e-06	37	5.707872323e-08	-1.81091042999102	0.414633028815228	0.00040362762916592	0.0356717029728185	0.0160209868790547	0	2	S				S				7.13864803314209	5.67380046844482	10.6251831054688	23.2004070281982	28.2483692169189
chr1	119080000	119090000	chr1	119500000	119510000	557.5	87.5	914	116.5	LD	LD	0	1	0	1	16	0.00041623188502561	9	0.331376071388905	-6.72539690850429	-1.15617542639097	6.93798298715e-06	0.00124009288803888	0.00052229920835581	0	1	S				P	Ralb	CTCF_pos		8.56121921539307	17.7517070770264	13.9450225830078	18.1243896484375	13.8194789886475
chr1	119480000	119490000	chr1	119500000	119510000	530.5	87.5	620.5	116.5	ND	LD	0	1	0	1	81	0.00135673395754365	89	6.53506301e-09	-9.46194507373594	1.28044711910977	0	0	0	0	2	S				P	Ralb	CTCF_pos		4.23491048812866	3.62902903556824	1.69191026687622	3.82551217079163	6.81577301025391
chr1	119500000	119510000	chr1	119910000	119920000	87.5	316.5	116.5	339.5	LD	ND	0	1	0	1	12	0.00705887289594799	4	0.99548443157754	-6.0986636333196	-1.61730427295304	0.00032886695548107	0.0303614710821013	0.0137994066680984	0	1	P	Ralb	CTCF_pos		P	Tmem177	CTCF_pos		10.142614364624	12.9356622695923	8.49524688720703	9.48564720153809	8.92977046966553
chr1	119500000	119510000	chr1	120090000	120100000	87.5	999	116.5	1250	LD	ND	0	1	0	1	11	0.0162641078618594	13	0.00402844583750655	-6.64802604219822	-1.21409662737817	1.230886445716e-05	0.00202119696122489	0.00090423380551599	0	1	P	Ralb	CTCF_pos		E			Active_CTCF_pos	22.732328414917	24.7004089355469	14.1433572769165	13.8764276504517	21.0744152069092
chr1	119540000	119550000	chr1	119640000	119650000	405	111.5	521	148	LD	ND	0	1	0	1	31	0.0204414538145738	31	0.00302778653206391	-8.0130210891515	-0.0706138677208561	8.594e-14	8.076293e-11	3.629797e-11	0	1	S				P	Epb41l5	CTCF_pos		7.94960594177246	10.1072998046875	3.07421207427979	7.6850643157959	8.60823822021484
chr1	119540000	119550000	chr1	119970000	119980000	405	51	521	63.5	LD	LD	0	1	0	1	16	0.00010168256116757	15	0.0008361986985167	-7.02020028721609	-0.921138442107739	5.2408542772e-07	0.00013117590628744	5.944449269434e-05	0	2	S				S				11.233907699585	5.46915435791016	8.34624290466309	15.0912971496582	15.6121034622192
chr1	119640000	119650000	chr1	120010000	120020000	111.5	543.5	148	616	ND	LD	0	1	0	1	6	0.996070564002786	14	0.00388033854259524	-6.37174668153636	-1.41919195991901	7.401398193479e-05	0.00902714595097677	0.00410801585895182	0	1	P	Epb41l5	CTCF_pos		E			Active_CTCF_pos	7.39204835891724	3.05862665176392	4.54697990417481	7.25396060943604	9.56627941131592
chr1	119840000	119850000	chr1	119890000	119900000	92.5	477.5	91	574	LD	LD	0	1	31	0.0993081722339835	39	0.00044680485301898	44	1.08936891712e-06	-1.55740189816186	0.696922767575358	0.00055819981098465	0.0457494816927283	0.0202412038364289	0	2	S				P	Gm3551	CTCF_pos		4.77142572402954	4.77835416793823	3.26933574676514	5.64689683914185	6.26634550094605
chr1	119960000	119970000	chr1	120090000	120100000	48.5	999	54.5	1250	LD	ND	0	1	0	1	35	0.00545989909343531	31	0.0869360644701882	-8.1063803706494	0.0131650229095377	8.69e-15	9.34472e-12	4.20002e-12	0	1	S				E			Active_CTCF_pos	5.33494091033936	6.1868371963501	4.47944116592407	5.16300678253174	9.4603099822998
chr1	120090000	120100000	chr1	120120000	120130000	999	79	1250	118.5	ND	ND	0	1	0	1	116	0.00130223140191606	124	1.02720640922e-06	-9.95968809358796	1.76113302331199	0	0	0	0	2	E			Active_CTCF_pos	P	Dbi,3110009E18Rik	CTCF_pos		8.42856025695801	12.1838760375977	6.42155027389526	10.4060649871826	12.9176654815674
chr1	120150000	120160000	chr1	120210000	120220000	711	86.5	807	62.5	ND	ND	32	0.697227593275872	0	1	36	0.375151972966367	48	0.00020374401225987	-1.42962798916728	0.744582148239325	0.00124043170291532	0.0851638636871831	0.0361424408176867	0	1	P	3110009E18Rik	CTCF_pos		S				5.31852531433106	5.94575309753418	2.62633466720581	4.76498603820801	7.30424213409424
chr1	120210000	120220000	chr1	120230000	120240000	86.5	378	62.5	422	ND	LD	75	0.184647703378274	0	1	81	0.0077981366145119	64	0.207635100442706	-1.00282768519115	1.63395803084891	0.00133706406911866	0.0904371375731752	0.0405216725458909	0	1	S				S				5.78900623321533	6.9677357673645	4.14226293563843	6.4003758430481	5.73959827423096
chr1	121240000	121250000	chr1	121400000	121410000	210.5	200	288	328.5	LD	LD	31	3.007424e-11	25	3.552623557e-08	72	0	67	0	-1.40412868872001	1.45112772797588	3.351087913851e-05	0.0046558168466696	0.00197700829241033	2	2	S				S				10.2941875457764	11.0388698577881	9.06273651123047	18.4610233306885	24.0220165252686
chr1	12280000	12290000	chr1	12690000	12700000	37.5	46.5	150.5	168.5	HD	HD	0	1	0	1	9	0.00122483877133533	5	0.122629242370707	-5.89827228696852	-1.75133731596691	0.00080710085212332	0.0612879049601555	0.0269953628252582	0	1	E			Active_CTCF_pos	P	Sulf1	CTCF_pos		0.461027920246124	NA	0.566349804401398	1.35509240627289	6.37840747833252
chr1	12280000	12290000	chr1	12830000	12840000	37.5	293.5	150.5	414.5	HD	ND	0	1	0	1	11	2.248389105635e-05	4	0.452731026029353	-6.00504516437288	-1.68099406503611	0.00050866852337952	0.0430609019657087	0.019488673918732	0	1	E			Active_CTCF_pos	P	Sulf1	CTCF_pos		2.01034545898438	NA	2.41727113723755	3.91261982917786	9.55471801757812
chr1	125600000	125610000	chr1	125670000	125680000	325	62	332	66	LD	ND	0	1	0	1	16	0.19000162509869	22	0.00097220707558088	-7.30143200638419	-0.688416693273817	2.349215921e-08	8.30940917518e-06	3.73536451505e-06	0	1	S				P	Gpr39	CTCF_pos		3.56423616409302	3.87590885162354	1.88338124752045	2.18673753738403	4.17658376693726
chr1	125670000	125680000	chr1	126930000	126940000	62	434.5	66	531	ND	ND	0	1	0	1	9	0.00045816466202955	4	0.46205021031238	-5.79755106748294	-1.81723504903896	0.00121955686911386	0.0843698091827546	0.036825670588174	0	1	P	Gpr39	CTCF_pos		S				21.1055374145508	19.7793941497803	10.5534496307373	12.3937997817993	28.6737537384033
chr1	12700000	12710000	chr1	12830000	12840000	34	293.5	93	414.5	HD	ND	0	1	0	1	9	0.0238056232254794	13	0.00038167524032833	-6.51872893733976	-1.31159092748189	2.98955640062e-05	0.00423993842298391	0.00185637498573465	0	1	S				P	Sulf1	CTCF_pos		0.470730096101761	NA	0.213306739926338	1.22928726673126	3.54761648178101
chr1	12700000	12710000	chr1	12840000	12850000	34	65.5	93	104.5	HD	LD	0	1	0	1	8	0.0308522467663491	10	0.00185585709442447	-6.23647694365791	-1.51797807823581	0.00016050037860041	0.0170681546418111	0.00722399211103134	0	1	S				P	Sulf1	CTCF_pos		0.996680617332458	0.934843719005585	0.895259320735931	1.03603255748749	3.14456629753113
chr1	127200000	127210000	chr1	127310000	127320000	470.5	78	569.5	111.5	LD	LD	0	1	0	1	59	1e-17	45	8.966103e-11	-8.76500805466278	0.619116615763833	0	0	0	0	2	P	Mgat5	CTCF_pos		E			Active_CTCF_pos	10.2919359207153	11.0474672317505	10.3294115066528	10.9979829788208	14.3980617523193
chr1	127280000	127290000	chr1	127310000	127320000	294	78	253	111.5	LD	LD	0	1	0	1	30	0.411019784927181	38	0.0012242370606734	-8.13899953870386	0.0430257470812648	3.69e-15	4.21007e-12	1.89291e-12	0	1	P	Gm8451	CTCF_pos		E			Active_CTCF_pos	3.96638107299805	4.37369918823242	3.00756168365479	1.98210763931274	4.37647676467896
chr1	127500000	127510000	chr1	127810000	127820000	427	96.5	445.5	116	LD	LD	0	1	5	0.994929231029963	18	1.026635731379e-05	19	9.91124739119e-06	-2.95055610387463	-0.574036434755848	0.00034147289034635	0.0314276970876129	0.0142403120706615	0	2	P	Tmem163	CTCF_pos		E			Active_CTCF_pos	6.45877647399902	8.82591152191162	7.22512435913086	6.55663681030273	15.0354223251343
chr1	127700000	127710000	chr1	127760000	127770000	205	233	283.5	257.5	LD	LD	28	0.0002918496792907	18	0.279802920457489	54	1.26e-15	52	3.228e-14	-1.28978821366233	1.10681663294344	0.0007841284477996	0.0603488166020609	0.0270251022976252	1	2	S				S				4.21814060211182	2.79800152778626	4.72740268707275	9.06884384155273	9.47268867492676
chr1	127700000	127710000	chr1	127810000	127820000	205	96.5	283.5	116	LD	LD	0	1	8	0.994929231029963	23	0.00053481355698592	20	0.0101556015864967	-2.52616635625548	-0.334313607184297	0.00048853654704664	0.0414875220660754	0.0181429642723797	0	1	S				E			Active_CTCF_pos	2.36436367034912	4.47159385681152	2.48671007156372	4.61915302276611	5.37758922576904
chr1	130870000	130880000	chr1	131250000	131260000	843.5	63.5	889.5	166.5	LD	HD	0	1	0	1	16	0.0306210264299648	25	2.153691912349e-05	-7.40689316167222	-0.599225710018844	5.82632102e-09	2.35954420726e-06	9.981868074e-07	0	1	P	Fcmr	CTCF_pos		P	Gm28914	CTCF_pos		17.319881439209	36.2373199462891	14.0973434448242	17.4655265808105	20.8946647644043
chr1	130980000	130990000	chr1	131250000	131260000	324	63.5	499.5	166.5	ND	HD	0	1	0	1	15	0.488300731954433	30	1.12278938057e-05	-7.53391266981154	-0.490352293468865	9.2494248e-10	4.4513514693e-07	1.9987872939e-07	0	1	E			Active_CTCF_pos	P	Gm28914	CTCF_pos		8.24311828613281	11.5290069580078	12.3523321151733	22.9574184417725	15.6343288421631
chr1	131110000	131120000	chr1	131250000	131260000	734	63.5	812	166.5	LD	HD	0	1	0	1	69	3.05e-14	62	8.176419e-11	-9.09259343430617	0.927935266037172	0	0	0	0	2	E			Active_CTCF_pos	P	Gm28914	CTCF_pos		25.0831298828125	23.3710918426514	18.8004455566406	19.6846199035645	22.4312400817871
chr1	131120000	131130000	chr1	131250000	131260000	372	63.5	430	166.5	LD	HD	0	1	0	1	40	1.387622231769e-05	46	7.681361225e-08	-8.47948867352948	0.353958132336457	0	1.8e-16	7e-17	0	2	E			Active_CTCF_pos	P	Gm28914	CTCF_pos		10.1991519927979	12.668285369873	12.7984037399292	17.9475955963135	13.599196434021
chr1	131150000	131160000	chr1	131250000	131260000	468.5	63.5	496	166.5	LD	HD	0	1	0	1	33	0.0417734316404739	40	0.00068307188705356	-8.24226071666578	0.136611222014735	2.1e-16	2.8241e-13	1.233e-13	0	1	P	Eif2d	CTCF_pos		P	Gm28914	CTCF_pos		8.73153400421143	10.1072998046875	9.76514434814453	9.76210880279541	9.58275604248047
chr1	131160000	131170000	chr1	131250000	131260000	121.5	63.5	134	166.5	ND	HD	0	1	0	1	24	0.0584010740663661	29	0.00217060987272541	-7.78229853474069	-0.275194590928065	1.223073e-11	8.18046624e-09	3.67832034e-09	0	1	P	Eif2d	CTCF_pos		P	Gm28914	CTCF_pos		5.20866012573242	4.13562488555908	5.93554830551148	6.65339994430542	5.88030624389648
chr1	131180000	131190000	chr1	131250000	131260000	443	63.5	505.5	166.5	ND	HD	0	1	0	1	148	0	116	0	-10.1065480692822	1.9039791548321	0	0	0	0	2	E			Active_CTCF_pos	P	Gm28914	CTCF_pos		20.8762397766113	20.5423164367676	20.4274425506592	24.0541114807129	24.9329376220703
chr1	131190000	131200000	chr1	131250000	131260000	217.5	63.5	176	166.5	LD	HD	0	1	0	1	38	0.0043670821582611	32	0.0526152926435469	-8.19243975283282	0.0909631929852784	8.8e-16	1.09162e-12	4.5823e-13	0	1	E			Active_CTCF_pos	P	Gm28914	CTCF_pos		5.96041631698608	4.72162771224976	7.22242069244385	6.76320600509644	5.93469667434692
chr1	131200000	131210000	chr1	131250000	131260000	662.5	63.5	628	166.5	LD	HD	0	1	0	1	75	3.61921163388e-06	64	0.00050958728360115	-9.17951161917734	1.01048825420894	0	0	0	0	2	P	Rassf5	CTCF_pos		P	Gm28914	CTCF_pos		8.41064834594727	10.0191297531128	9.3409595489502	10.0542316436768	11.1177101135254
chr1	131710000	131720000	chr1	131760000	131770000	490	487	571.5	597	ND	LD	108	0.00382376469036667	126	5.7646199984e-07	327	0	242	0	-1.39466085596333	3.45299724257231	6.04e-15	6.69278e-12	3.05041e-12	2	2	E			Active_CTCF_pos	E			Active_CTCF_pos	18.9239597320557	26.3580188751221	30.4748783111572	35.258674621582	40.7312469482422
chr1	132150000	132160000	chr1	132370000	132380000	791	46.5	923.5	65.5	ND	LD	0	1	0	1	36	0.00016595292520182	28	0.156688204056238	-8.06583202995581	-0.0235126937691814	2.418e-14	2.451589e-11	1.072373e-11	0	1	S				S				16.4731693267822	23.4723796844482	13.4245510101318	16.8579063415527	16.3693199157715
chr1	132160000	132170000	chr1	132370000	132380000	477	46.5	629.5	65.5	LD	LD	0	1	0	1	14	0.996070564002786	26	0.00918449111877015	-7.36699241220152	-0.632674669505987	9.95020677e-09	3.84157309565e-06	1.72302960077e-06	0	1	S				S				12.7833003997803	11.6823015213013	10.5461387634277	13.7285480499268	9.95192241668701
chr1	132180000	132190000	chr1	132210000	132220000	96	547.5	134.5	791	ND	ND	0	1	50	0.569979997501893	93	2.56363403624e-06	66	0.0160106351539586	-1.82464611699211	1.5434118509991	3.733075182e-08	1.259449273282e-05	5.73074321061e-06	0	1	S				S				4.68253326416016	3.43647789955139	4.30812883377075	10.1087493896484	8.2588357925415
chr1	132180000	132190000	chr1	132230000	132240000	96	527.5	134.5	650	ND	ND	0	1	52	0.518937612149556	78	0.0123632004035159	85	2.68397140252e-06	-1.79172159798224	1.57269731824396	4.444573856e-08	1.477205892386e-05	6.63656356328e-06	0	1	S				S				7.68280410766602	9.09428691864014	5.60457563400269	7.02418899536133	12.7348308563232
chr1	132310000	132320000	chr1	132330000	132340000	397.5	81	522	116.5	LD	LD	54	0.64375179251031	0	1	106	3.695014195048e-05	90	0.00054725948871826	-1.90997250503434	1.81639169266005	3.3049317e-10	1.7226886407e-07	7.843726069e-08	0	2	P	Nuak2	CTCF_pos		E			Active_CTCF_pos	5.67244911193848	6.67741346359253	4.14226293563843	6.62107849121094	7.89194774627686
chr1	132310000	132320000	chr1	132380000	132390000	397.5	59.5	522	147	LD	HD	0	1	0	1	44	0.0701699652728188	47	0.00507885869246638	-8.56295587261434	0.431090633224881	0	0	0	0	1	P	Nuak2	CTCF_pos		P	Gm15849	CTCF_pos		3.46240091323853	4.26349973678589	5.9398946762085	6.39200162887573	9.49223518371582
chr1	132360000	132370000	chr1	132380000	132390000	316	59.5	429	147	LD	HD	0	1	0	1	114	0.00047061847944986	99	0.0322879273362601	-9.79400825954176	1.60050687156082	0	0	0	0	1	P	Tmcc2	CTCF_pos		P	Gm15849	CTCF_pos		6.06097316741943	7.04031658172607	5.71748971939087	9.26951026916504	8.14818000793457
chr1	132360000	132370000	chr1	132390000	132400000	316	182	429	281	LD	LD	46	0.806206314856627	51	0.994929231029963	121	4.101895977e-08	135	1.27771790838e-06	-1.49704902462335	2.27737257670442	7.08189464e-09	2.81253774914e-06	1.28090724595e-06	0	2	P	Tmcc2	CTCF_pos		P	Tmcc2	CTCF_pos		5.34359693527222	5.4150562286377	6.5841212272644	13.6765432357788	14.5411977767944
chr1	132360000	132370000	chr1	132470000	132480000	316	282	429	330.5	LD	LD	31	0.00748439451433381	24	0.554833751104001	79	0	78	0	-1.60270009923981	1.56871104699907	8.861385825e-07	0.00020587313133931	9.249208524927e-05	1	2	P	Tmcc2	CTCF_pos		P	6030442K20Rik,Rbbp5	CTCF_pos		7.64941167831421	8.68015289306641	6.50370311737061	12.0977811813355	20.6430053710938
chr1	132370000	132380000	chr1	132410000	132420000	46.5	306.5	65.5	329	LD	LD	0	1	0	1	46	0.00512235302800349	28	0.99548443157754	-8.28145532554973	0.171651228239072	6e-17	9.577e-14	4.311e-14	0	1	S				P	Dstyk	CTCF_pos		3.9188666343689	3.01376795768738	1.90777480602264	3.59689569473267	4.77508544921875
chr1	132370000	132380000	chr1	132460000	132470000	46.5	131.5	65.5	206	LD	ND	0	1	0	1	40	9.5119955e-10	25	0.00561505358479891	-8.09418026570438	0.00176672070746311	1.199e-14	1.271585e-11	5.71857e-12	0	2	S				P	Dstyk	CTCF_pos		3.27055406570435	3.44635415077209	4.07009029388428	7.8275294303894	7.53885412216187
chr1	132370000	132380000	chr1	132470000	132480000	46.5	282	65.5	330.5	LD	LD	0	1	0	1	24	8.750847584217e-05	15	0.279173807150121	-7.3601828033552	-0.640524169054932	1.12161026e-08	4.2615225115e-06	1.91449244395e-06	0	1	S				P	6030442K20Rik,Rbbp5	CTCF_pos		3.5186779499054	2.21867561340332	3.61671996116638	4.15408897399902	3.73565053939819
chr1	132370000	132380000	chr1	132520000	132530000	46.5	916	65.5	1024	LD	ND	0	1	0	1	71	2.838431e-11	64	2.1532234359e-07	-9.13582115415722	0.96896836464541	0	0	0	0	2	S				P	Cntn2	CTCF_pos		20.8395729064941	26.2539939880371	16.6110324859619	22.525671005249	23.0504207611084
chr1	132370000	132380000	chr1	132590000	132600000	46.5	441.5	65.5	536.5	LD	ND	0	1	0	1	21	0.117064954538912	41	2.0246014246e-07	-7.99439264662756	-0.0864506370438494	1.3018e-13	1.197143e-10	5.374507e-11	0	1	S				S				15.0196542739868	18.0556755065918	12.1757555007935	16.8579063415527	16.0545253753662
chr1	132370000	132380000	chr1	132600000	132610000	46.5	512	65.5	604	LD	ND	0	1	0	1	18	0.285759603689164	26	0.00721009915675163	-7.51026134639864	-0.511211903306108	1.33122763e-09	6.2036561032e-07	2.6090977322e-07	0	1	S				P	Nfasc	CTCF_pos		13.1193008422852	12.6950092315674	11.9577341079712	12.9414339065552	11.8376226425171
chr1	132380000	132390000	chr1	132460000	132470000	59.5	131.5	147	206	HD	ND	0	1	0	1	33	0.00316265002151058	29	0.0103742984360005	-8.01672169298035	-0.0674610283653315	7.907e-14	7.459926e-11	3.356226e-11	0	1	P	Gm15849	CTCF_pos		P	Dstyk	CTCF_pos		3.803551197052	4.89138031005859	4.56781005859375	3.28202867507935	6.3889331817627
chr1	132380000	132390000	chr1	132520000	132530000	59.5	916	147	1024	HD	ND	0	1	0	1	56	0.0375320048300152	60	0.00271012354849178	-8.91223786071035	0.757527056748001	0	0	0	0	1	P	Gm15849	CTCF_pos		P	Cntn2	CTCF_pos		19.2691593170166	19.3201026916504	13.2050743103027	23.310733795166	18.4481220245361
chr1	132390000	132400000	chr1	132460000	132470000	182	131.5	281	206	LD	ND	16	0.834340033031741	16	0.994929231029963	48	1.97124933254e-05	42	0.0105431766759988	-1.58811945882557	0.808633137253691	0.00025389973920358	0.0247693061001533	0.0110675882071981	0	1	P	Tmcc2	CTCF_pos		P	Dstyk	CTCF_pos		3.25873017311096	3.10072708129883	4.49113988876343	6.72842311859131	8.4797306060791
chr1	132390000	132400000	chr1	132470000	132480000	182	282	281	330.5	LD	LD	7	1	13	0.994929231029963	33	0.00085632751712349	32	0.0297164996349216	-1.80142928055087	0.320646936922288	0.00069826806097767	0.0549234654053965	0.024592592533725	0	1	P	Tmcc2	CTCF_pos		P	6030442K20Rik,Rbbp5	CTCF_pos		2.23738312721252	2.76469326019287	3.62274599075317	4.37603807449341	7.77783155441284
chr1	132520000	132530000	chr1	132650000	132660000	916	60	1024	48.5	ND	LD	0	1	37	0.924451394553462	73	8.991962171e-08	62	2.728918504663e-05	-2.01303323648115	1.27286690260998	5.504398731e-08	1.779564734426e-05	8.09623730947e-06	0	2	P	Cntn2	CTCF_pos		S				13.8080825805664	12.668285369873	11.5185632705688	16.9641647338867	21.8769683837891
chr1	132750000	132760000	chr1	132850000	132860000	517	89.5	651.5	131.5	ND	ND	0	1	12	0.994929231029963	17	0.606341579166855	32	0.00016084959197902	-2.12772257336124	-0.127080565538027	0.00103298377939865	0.07392805870345	0.0331421866293949	0	1	S				E			Active_CTCF_pos	3.25803518295288	1.47911703586578	0.723344027996063	7.6850643157959	6.49678373336792
chr1	132760000	132770000	chr1	132960000	132970000	74.5	406.5	96.5	469.5	ND	ND	0	1	95	0	116	0	97	0	-1.3233315871553	2.07183398337015	1.36379381808e-06	0.00030043932171032	0.00013497112499093	1	2	S				S				37.507755279541	42.3081970214844	25.1607341766357	39.2389144897461	47.2696800231934
chr1	133730000	133740000	chr1	133890000	133900000	193	311.5	281.5	375.5	ND	LD	28	9.50432757903e-06	20	0.0788039188375605	70	0	43	1.220635e-11	-1.33616979473424	1.19445034982088	0.00033061083844766	0.0305173474782748	0.0136946231065091	1	2	S				S				8.82358932495117	6.55432891845703	11.0222463607788	19.3130722045898	18.1914291381836
chr1	134130000	134140000	chr1	134330000	134340000	80	557.5	92	628	LD	ND	47	2.052245626e-08	34	0.00074631456327992	82	0	79	0	-1.0810883414799	1.74819053987926	0.00033537689046037	0.0309256293039631	0.0130420860526227	2	2	P	Chit1	CTCF_pos		P	Ppfia4	CTCF_pos		17.9770908355713	29.8646106719971	21.6902885437012	24.355188369751	34.9509162902832
